ID;amount;name;surname;fullname;email;active
99;141.244;Monica;Brock;Jordan Palmer;tracy@rosenthal.do;true
100;175.419;Lester;Sanchez;Julian Burnett;valerie@sharp.td;true
101;187.392;Kenneth;McNeill;Shirley Griffin;joanna@rollins.bw;true
102;133.969;Marion;Melton;Bill Benton;maurice@riley.nr;false
103;142.021;Geoffrey;Keller;Judith Frederick;diana@koch.et;true
104;159.221;Gretchen;Blackwell;Hazel Norman;alice@riley.com;false
105;192.219;Steve;Mayer;Harold Cook;jordan@pollard.aq;false
106;132.086;Russell;French;Courtney Wiley;faye@hardin.io;true
107;109.064;Ben;Pritchard;Ben Hamilton;luis@proctor.ng;true
108;172.214;Kathleen;Heath;Kerry Grimes;cecil@hardy.td;false
109;13.028;Colleen;Jordan;Kurt Rich;janet@davies.it;true
110;130.999;Leo;Hester;Alfred Langley;marsha@norman.md;true
111;179.722;Ralph;Lopez;Holly Padgett;shannon@nance.fi;true
112;104.854;Suzanne;Honeycutt;Erin Lawrence;jesse@cooke.je;true
113;119.002;Sara;Gibson;Gary Norton;mary@davidson.hk;true
114;116.119;Jack;Gross;Claire Chang;joel@shapiro.gd;true
115;180.002;Marion;Coley;Evelyn Sinclair;wesley@kramer.iq;false
116;181.148;Neal;Garrett;Glenn Summers;carolyn@barry.sx;false
117;176.212;Eileen;Law;Linda Wu;carol@guthrie.np;true
118;115.749;Jessica;Rodgers;James Neal;dana@greenberg.org;false
119;176.671;Carole;Tyson;Barry Nguyen;ben@hinson.st;false
120;166.713;Milton;Berman;Tom Gallagher;alison@livingston.ly;true
121;136.757;Lee;Rich;Judith Paul;katherine@skinner.nr;true
122;196.104;Chris;Sharpe;Bruce Crawford;rodney@mclean.cw;false
123;170.827;Bradley;Pittman;Clifford Dodson;todd@fox.ci;false
124;126.015;Gretchen;Hewitt;Jeanette Case;jon@henson.lv;true
125;186.909;Virginia;Harris;Johnny Garrett;eva@pritchard.tt;false
126;123.847;Anne;Wu;Sharon Stanley;kyle@eaton.ph;true
127;16.621;Courtney;Pritchard;Jack Upchurch;constance@reed.cm;false
128;115.336;Sherri;Daniels;Marion Curry;joan@daniels.np;true
129;193.372;Donna;Gross;Judy Davidson;vincent@wu.je;false
130;108.671;Nina;Turner;Raymond Savage;dean@mcdonald.my;true
131;130.237;Gloria;Fisher;Jose Lassiter;george@schwartz.rw;true
132;123.834;Cathy;Wu;Floyd Albright;bradley@clapp.dk;false
133;156.362;Jack;James;Nina Sutton;marc@quinn.gs;true
134;104.635;Tiffany;Bowers;Lester Hayes;frances@miles.mt;true
135;190.479;Shirley;Burgess;Anna Robinson;catherine@mcnamara.tg;true
136;194.929;Gayle;Puckett;Marguerite Barry;hannah@mccarthy.tj;true
137;181.785;Ronald;Middleton;Brooke Glover;gladys@teague.gw;true
138;150.878;Marian;Hamrick;Leo Chang;karl@livingston.pe;true
139;145.643;Erin;Byers;Pat Davidson;nicholas@davies.pf;false
140;185.782;William;Hawley;Virginia Gould;justin@house.mn;true
141;134.324;Justin;Quinn;Ronnie Lloyd;dawn@winters.lc;false
142;142.336;Lorraine;Hawkins;Ralph Locklear;donna@golden.is;false
143;149.396;Carl;Massey;Brent Rubin;dorothy@woods.pk;false
144;124.966;Cheryl;Aldridge;Henry Bowman;randall@norman.mg;true
145;150.211;Tony;Rao;Jeff Adcock;mitchell@hamrick.sh;true
146;195.629;Thelma;Parrott;Ralph Britt;benjamin@lin.sc;false
147;162.767;Jerome;Hill;James Sharma;gretchen@klein.me;true
148;199.505;Emily;Caldwell;Wesley Jordan;vincent@hood.fr;true
149;176.884;Don;Hendrix;Erin Berg;vincent@moran.mx;false
150;151.833;Patricia;Stout;Rita O;lee@harris.mw;true
151;106.992;Kelly;Stephens;Kay Clapp;claude@honeycutt.gi;true
152;166.829;Ben;Glass;Raymond Wagner;diana@swanson.lb;true
153;19.928;Robert;Garrison;Hilda Hall;clifford@chappell.fo;true
154;117.124;Stacy;Park;Aaron Love;kimberly@green.gf;false
155;130.741;Clyde;Kearney;Penny Lucas;george@alston.ng;true
156;115.381;Joan;Riddle;Karen Case;janet@heath.ec;true
157;179.059;Annie;Stephens;Louis Creech;marc@ritchie.sb;false
158;116.318;Lester;Farmer;Jean Chen;nina@katz.by;true
159;120.963;Philip;Cates;Patricia Parsons;shawn@branch.is;true
160;167.145;Douglas;Hartman;Marsha Waters;oscar@allen.ve;false
161;154.166;Eugene;McCarthy;Julia MacDonald;patrick@puckett.tf;false
162;141.293;Crystal;Fuller;Rhonda Lynn;sharon@mcintyre.es;false
163;131.212;Claire;Savage;Ken Kenney;jacob@mclean.mz;false
164;16.729;Ben;Donovan;Warren Goldman;sandra@sutton.lu;false
165;165.739;Claire;Cates;Tammy Weiner;jordan@bruce.be;true
166;154.399;Allen;Roach;Jennifer Wallace;neal@pickett.li;false
167;128.137;Leroy;Stark;Leigh Conway;leroy@chung.tc;true
168;198.638;Lorraine;McNeill;Greg Fischer;alicia@capps.bv;true
169;144.736;Darlene;Pitts;Claire McCall;tommy@gilbert.ge;false
170;153.401;Nelson;Chung;Danielle Snow;bernard@scarborough.na;false
171;176.252;Shelley;Barton;Samuel Gill;bradley@garrett.cr;false
172;185.606;Elisabeth;Whitehead;Jonathan Ford;guy@pittman.cl;false
173;18.609;Jordan;Spivey;Lois Underwood;marian@mckenzie.mt;false
174;186.775;Lloyd;Ashley;Annette Burnette;donald@schwartz.gm;true
175;134.059;Kimberly;Long;Jon Woodward;keith@riddle.mv;false
176;125.274;William;Hoyle;Beth Hester;rhonda@walton.fj;false
177;159.459;Faye;Crews;Marian Cooke;jessica@harmon.re;false
178;176.634;Julie;Bolton;Regina Hughes;kevin@mccall.za;false
179;150.917;Harold;Garcia;Joanne Weber;glenda@hester.tl (changed from tp);false
180;118.182;Marian;Chappell;Maureen Bowers;natalie@harris.cv;false
181;152.522;Dennis;Hewitt;Judith McCall;donna@bowling.nl;true
182;146.028;Gladys;Barton;Glen Elmore;marian@schroeder.im;false
183;131.906;Gayle;Stark;Donna Bender;lisa@bunn.tk;true
184;100.529;Harriet;Pugh;Nancy Woods;sheryl@knight.dm;true
185;108.601;Samantha;Stuart;Alice Fischer;eileen@schroeder.km;true
186;135.304;Dana;Friedman;Denise Chung;katherine@may.et;false
187;114.078;Jennifer;Chandler;Allen Kaplan;martha@burnette.nr;false
188;119.057;Allen;Sinclair;Allen Daniels;dennis@beatty.ck;true
189;169.361;Dwight;Pearson;Glen Anderson;bobby@currie.bz;true
190;160.532;Allan;West;Harold Gill;leo@barton.ly;true
191;151.004;Ernest;Hinton;Sandy Godfrey;clara@may.bz;false
192;11.888;Bradley;Lutz;Tamara Fischer;shelley@locklear.ke;false
193;188.312;Donna;Green;Elsie Burnette;alison@stone.uy;false
194;102.147;Kurt;Bowden;Ryan Dalton;diana@norton.gn;false
195;101.253;Wesley;Griffin;Cynthia Baker;laurence@whitley.ax;false
196;157.214;Annie;Brock;Warren McKay;jason@conrad.ck;true
197;109.774;Theodore;Brady;Mike Lang;julia@chu.gm;true
198;126.796;Claire;Friedman;Audrey Stephens;colleen@gray.bz;true
199;179.591;James;Jennings;Penny Best;angela@green.eh;false
200;101.236;Beth;Waters;Florence Wiggins;holly@nixon.pn;true
201;147.507;Brian;Li;Miriam Middleton;tracy@fleming.gd;false
202;174.134;Jacob;Moser;Shelley Bowman;oscar@mitchell.gm;true
203;191.883;Wade;Watts;Marianne Hirsch;charlotte@nolan.bg;false
204;160.182;Elsie;Lindsay;Samantha Scarborough;randall@wu.bd;false
205;158.649;Sue;Lowe;Joe Hill;zachary@murphy.kz;false
206;172.933;Robert;Livingston;Diana Puckett;ann@nixon.by;true
207;146.139;Frederick;Mueller;Kristen Riddle;wendy@locklear.ky;true
208;117.362;Sandra;Craven;Anne Kenney;jack@goldberg.pk;true
209;17.151;Stacy;Eaton;Bonnie Watts;maurice@burnett.fj;true
210;196.697;Jay;Beach;Hannah Eason;glenda@schultz.sm;true
211;137.698;Glenda;Wang;Tara Crane;warren@hill.az;true
212;151.174;Jerome;Dickinson;Becky Anderson;glenda@hill.td;true
213;180.938;Karl;Farmer;Patricia Anderson;billy@boyette.cr;false
214;116.482;Lucy;Glover;Joann Cooke;douglas@levine.gh;true
215;141.655;Gayle;Carey;Tamara Russell;lynne@wiley.kz;false
216;19.393;Lynne;Cochran;Stephen Lowe;jennifer@gray.mr;false
217;155.986;Jordan;Monroe;Kristine Hill;phyllis@fuller.mk;false
218;120.678;Maureen;Byers;Florence Blanchard;miriam@turner.ao;false
219;166.834;Don;McLaughlin;Jack Whitehead;chris@coley.bo;true
220;175.967;Guy;Connor;Betsy Jones;hazel@gilbert.lv;false
221;157.762;Pat;High;Melanie McConnell;maria@brantley.ye;false
222;138.628;Lois;Sharpe;Sara Pugh;gretchen@duke.yt;true
223;174.017;Luis;Mack;Kathy Weeks;tracy@beatty.ws;false
224;145.126;Beth;Hanna;Amanda Gonzalez;harriet@cross.tk;true
225;150.836;Arthur;Underwood;Marc Jennings;jerome@becker.ru;false
226;130.943;Peter;Craig;Phyllis Barrett;heidi@miles.je;false
227;145.501;Joanne;Moran;Susan Hoyle;douglas@garcia.fr;false
228;189.884;Dana;Fitzpatrick;Pauline Gordon;sarah@lawrence.gm;false
229;188.387;Beth;Hunt;Hazel Clements;jordan@richardson.jm;false
230;176.894;Rachel;Harmon;Kathy Goldman;lloyd@oakley.kn;true
231;171.371;Judy;Crews;Karen Stanton;leslie@wallace.kn;true
232;156.205;Mark;Chandler;Ruth McKenzie;kim@rose.dz;false
233;13.618;Eileen;Leach;Theodore Matthews;joy@henry.gl;true
234;188.172;Courtney;Horowitz;Calvin Hoyle;gladys@whitehead.sb;false
235;179.911;Marguerite;Chappell;Ruth Pritchard;suzanne@moran.mq;false
236;178.503;Luis;Godwin;Emily Solomon;brenda@solomon.tl (changed from tp);false
237;144.239;Gary;Glover;Christina Savage;courtney@fitzpatrick.it;true
238;142.534;Steve;Garrett;Florence Eason;jenny@reed.tc;false
239;116.634;Alexander;Schultz;Jeff Lynn;wesley@shaffer.cy;true
240;116.703;Harry;Waters;Gene Li;stephanie@morgan.hr;true
241;138.922;Carol;Harvey;Colleen Butler;jeanette@chu.sa;true
242;170.439;Kristen;Anthony;Lynn Holmes;eileen@mclean.hr;true
243;126.694;Zachary;Heller;Marion Connolly;julie@friedman.rs;true
244;197.521;Stacy;Garrett;Clarence Harrington;robert@hardin.im;false
245;171.152;Neal;Frazier;Emily Wilkerson;keith@chappell.pt;true
246;182.396;Kevin;O;Elaine Parrott;melinda@burnett.gm;true
247;131.545;Martha;Hernandez;Nancy Scott;sandra@jiang.ye;false
248;178.939;Meredith;Starr;Melanie Merritt;geraldine@heath.ht;false
249;148.655;Heather;Carver;Christina Harmon;renee@hobbs.org;true
250;152.045;Alice;Weiss;Brooke Olsen;melinda@floyd.cr;true
251;164.182;Tamara;Currin;Deborah Hamrick;beth@chan.bo;false
252;127.345;Joann;Li;Hannah Joyce;oscar@paul.gt;true
253;138.846;Jerry;Sumner;Kevin Kenney;annie@glover.et;true
254;182.987;Lucy;Watson;Kyle Lyons;sandy@newton.ai;false
255;168.025;Warren;Dillon;Steve Marks;geoffrey@mclean.bg;true
256;111.187;Lewis;Spivey;Kristin Nguyen;alice@puckett.sg;true
257;130.765;Lorraine;Albright;Tina Douglas;brenda@livingston.zm;false
258;197.899;Bobby;Ritchie;Robyn McClure;kenneth@lam.mg;false
259;157.004;Sara;Boyd;Karen Carlton;jordan@spencer.nz;false
260;146.773;Thomas;Beasley;Bonnie O;mary@byrd.md;false
261;196.074;Clyde;Waters;Natalie Wolf;jennifer@daly.tr;true
262;182.076;Gretchen;Hull;Billy Warren;sara@hawkins.ni;true
263;100.836;Leo;Robinson;Margaret Sumner;karen@sanchez.gi;false
264;117.974;Marc;Gross;Pauline Mann;jennifer@brennan.za;true
265;104.268;Steve;Robinson;Philip Mullen;marc@holmes.td;true
266;190.283;Marlene;Golden;Gary Moore;sherri@paul.tl (changed from tp);true
267;138.016;Vincent;Jennings;Renee Weeks;mike@lynch.kg;true
268;128.371;Sandra;Hardy;Dianne Cooper;jacob@black.tv;false
269;107.479;Allison;Sanchez;Tonya Mueller;greg@creech.hr;false
270;142.864;Marilyn;Moore;Erica Pappas;jose@blair.jo;true
271;137.315;Rick;Kelley;Maureen Hedrick;patricia@cochran.il;false
272;130.978;Betty;Shaffer;Allen Parsons;joann@russell.gs;true
273;135.165;Oscar;Garcia;Tommy Currie;pauline@cooke.ie;true
274;158.134;Rose;Stephens;Elisabeth Dolan;christopher@oakley.th;true
275;141.371;Diana;Hoover;Carlos Finch;steven@cannon.bj;false
276;140.416;Gloria;Hunt;Ashley Harris;steve@craig.pw;false
277;117.192;Suzanne;Nash;Patrick Nixon;franklin@berger.net;true
278;164.127;Victor;Murphy;Hannah Watts;vivian@schroeder.ba;false
279;193.122;Louise;Gibbons;Lois Huffman;jeremy@atkins.cl;false
280;170.946;Melinda;Foster;Tracy Roy;bradley@klein.si;false
281;175.333;Vincent;Kelley;Warren Davies;carolyn@mueller.kp;true
282;180.233;Jennifer;Woods;Randy James;jenny@dougherty.pw;true
283;12.395;Danielle;Stanley;Joann McClure;neal@sumner.kw;true
284;164.686;Sarah;Lang;Beth Wall;dianne@mack.dm;true
285;115.066;Bonnie;Beatty;Helen Starr;allan@pearce.aq;true
286;115.043;Samuel;Coley;Ralph Sutton;leah@simmons.sx;false
287;13.97;Geraldine;Thornton;Joann Drake;charlene@fisher.al;false
288;186.032;Glen;Whitaker;Miriam Dale;glen@link.mk;true
289;109.413;Stephen;Jordan;Samuel Sherrill;rachel@klein.ee;false
290;192.369;Marsha;Warren;Joseph Gunter;tracey@desai.km;true
291;197.116;Tamara;Sharp;Sidney Cherry;melinda@currie.ly;false
292;11.297;Sandra;Proctor;Ted McMillan;vincent@fox.sb;true
293;179.985;Steve;Garrett;Monica Mack;nina@gunter.pf;true
294;161.731;Jose;McKnight;Raymond Li;gretchen@melton.ck;true
295;166.075;Jordan;Diaz;Hazel Spencer;doris@kelly.kp;true
296;128.596;Mike;Hartman;Jacob Marks;bernard@christian.bl;true
297;168.335;Lynne;Hawley;Shannon Curry;maria@richmond.aq;true
298;161.191;Clifford;Melton;Jordan Barton;christina@hodge.lt;true
299;15.527;Evelyn;Weiss;Dorothy Kramer;luis@payne.kr;true
300;143.221;Ann;Cassidy;Melinda Odom;jacob@james.tl (changed from tp);false
301;132.653;Stacy;Paul;Bob O;ashley@hawkins.aq;true
302;132.129;Vincent;Wiley;Kelly Lindsay;vanessa@cox.jm;false
303;166.684;Julian;Chan;Lisa Kinney;allan@reid.sg;true
304;179.982;Jane;Savage;Mary Bender;marlene@mcneill.mt;false
305;145.827;Maureen;Hoover;Gretchen Ayers;amy@kennedy.sc;false
306;16.8;Penny;Teague;Allan Washington;dorothy@ellington.ee;true
307;106.597;Jeanette;Watts;Kristine Lassiter;bruce@peterson.tn;true
308;172.017;Alan;Horn;Ann Jiang;vivian@callahan.sb;true
309;187.157;Zachary;Hinson;Harvey Upchurch;leon@james.rs;false
310;180.369;Claire;Dickerson;Molly Fletcher;natalie@henson.aq;true
311;152.295;Martin;Pittman;Marsha Poole;peter@scott.ba;true
312;137.774;Wayne;Ritchie;Shannon Park;bernard@allen.pg;true
313;104.668;Samuel;Tyler;Sue Link;sandra@shelton.gi;false
314;155.635;Kelly;Proctor;Wesley Link;kristin@park.bj;false
315;163.058;Tony;O;Marc Steele;lois@hendricks.tk;false
316;197.425;Betty;McNeill;Christine Lane;crystal@haynes.sc;true
317;135.539;Louise;MacDonald;Erin Nixon;kristina@monroe.uy;true
318;144.802;Nina;Underwood;Luis Haynes;annie@vick.pk;true
319;124.026;Alfred;Walter;Neal Brown;victor@christensen.ai;false
320;198.876;Wade;Branch;Nicholas Lassiter;jessica@savage.al;false
321;146.071;Natalie;Dodson;Joel Chang;terry@berry.ag;true
322;166.509;Martin;Carter;Edwin McKay;tracy@sutherland.tv;true
323;198.622;Beth;Branch;Darlene Vaughn;jay@chan.sd;false
324;108.419;Anne;McNamara;Ross Barrett;theodore@pritchard.nr;false
325;123.195;Judith;Alston;Chris Wilkerson;wesley@hensley.cm;false
326;131.044;Curtis;Sinclair;Jeanette Black;alison@hubbard.bn;false
327;110.338;Gina;Schroeder;Maurice Sanchez;eugene@riley.ar;true
328;143.912;Pauline;Strickland;Catherine McCall;calvin@garrett.nc;false
329;177.941;Natalie;Hull;Karl Garcia;emma@moon.ga;true
330;178.562;Malcolm;Drake;Renee Benson;sue@beatty.va;true
331;173.321;Vincent;Chung;Tammy Elmore;carole@wagner.br;false
332;166.988;Christina;Atkins;Marcus Richmond;jerome@brantley.ae;false
333;159.256;Judy;Martin;Jordan Klein;leon@riley.st;false
334;177.941;Alfred;Holden;Craig Miles;benjamin@o.as;true
335;102.812;Darlene;Song;Michelle Garcia;sharon@craven.gt;true
336;130.793;Leo;Byrd;Christina Levine;kristen@nguyen.pg;false
337;152.528;Nina;Sinclair;Robin Padgett;jason@lucas.fm;true
338;120.765;Tracy;Robertson;Joanne Stone;kimberly@farmer.mz;false
339;124.677;Douglas;Boyette;Marian Bolton;steven@banks.tw;false
340;134.973;Dorothy;Stone;Natalie Padgett;joanna@hoyle.cl;true
341;108.848;Sherri;Murphy;William Dawson;gary@hartman.tr;true
342;118.063;Jeff;Forrest;Theodore Paul;kathleen@townsend.hk;false
343;16.233;Hazel;Hess;Ricky Kay;sarah@powers.mc;true
344;133.598;Christian;Huffman;Linda Horowitz;justin@elmore.mx;true
345;116.983;Samuel;Stephens;Helen Davenport;cynthia@lucas.va;false
346;159.268;Vincent;Starr;Tracy Davies;bill@puckett.sh;false
347;179.823;Linda;Scarborough;Melanie Durham;audrey@glass.me;false
348;111.081;Jerome;Boyette;Lester Lucas;jessica@hendrix.so;true
349;123.783;Natalie;Sharpe;Rhonda Chambers;lorraine@mckee.mc;false
350;152.372;Sidney;Livingston;Glen Schroeder;lucille@quinn.gy;false
351;198.569;Stacy;Hayes;Faye Weber;vickie@hunt.tt;true
352;121.823;Kent;Fox;Dianne Saunders;rita@maynard.gu;true
353;180.734;Arlene;Thomas;Frances Knight;kim@hensley.ms;true
354;147.233;Geraldine;Barton;Allen Beach;alex@walter.ai;false
355;127.451;Caroline;Coleman;Jane Allison;joel@riddle.nf;false
356;125.417;Melinda;Cain;Ethel Brandt;courtney@finch.la;true
357;125.256;Vincent;Brandt;Glen Pugh;edna@hedrick.py;true
358;173.348;Erica;Bray;Arthur Sanchez;janet@burnette.lc;false
359;100.018;Ben;Barefoot;Shawn Berger;becky@friedman.com;false
360;137.686;Neal;Parsons;Louis Douglas;ethel@erickson.gl;true
361;158.547;Bobby;Stuart;Hugh Finch;gayle@park.lc;true
362;185.631;Bernard;Boswell;Rodney Morgan;george@morris.ky;false
363;171.571;Kyle;Harper;Bernard Love;barbara@cooper.mh;false
364;184.139;Juan;Quinn;Mary Lindsay;constance@olson.pw;true
365;150.181;Sheryl;Griffin;Jack Massey;lester@fischer.ee;true
366;194.853;Edwin;Caldwell;Laurence Warren;leroy@jones.ye;false
367;13.724;Ryan;Honeycutt;Tim Lynn;gene@burgess.hn;true
368;138.263;Brian;Conner;Darlene Barry;gretchen@crane.tw;true
369;114.294;Adam;McIntyre;Mark McKenna;chris@rogers.qa;false
370;150.686;Teresa;Stevens;Mary Ayers;peter@davis.cw;false
371;159.846;Sidney;McKnight;Justin McKee;glenda@barrett.pg;false
372;150.301;Clarence;Chung;Bob Craig;allen@hernandez.it;false
373;10.325;Wesley;Hartman;Sandra McCall;ronald@jordan.no;true
374;105.459;Tiffany;Harris;Joann Sykes;denise@koch.cm;true
375;108.318;Lester;McMahon;Kerry Pate;beth@kay.pr;true
376;125.208;Alfred;Lutz;Rita Coley;eileen@dickerson.lr;false
377;112.885;Ricky;Gibbons;Ken Farmer;melissa@lamb.ki;true
378;104.669;Marsha;Clarke;Ashley Desai;sherry@burnett.af;true
379;167.468;Dolores;Palmer;Lester Monroe;sharon@anthony.sl;false
380;130.205;Ronald;Lindsay;Tracy Hodge;theresa@durham.jp;false
381;117.163;Jennifer;Richardson;Patrick McConnell;monica@desai.ax;false
382;116.729;Jackie;Burton;Eric Sumner;sheryl@mayo.um;true
383;142.741;Wesley;Beach;Marion Chan;don@li.ug;true
384;128.792;Willie;Spivey;Tim Klein;neal@sanchez.tc;false
385;10.052;Marianne;Spencer;Beth Neal;cheryl@robinson.nu;true
386;139.596;Roberta;Langston;Judy Summers;mitchell@dickerson.az;true
387;16.352;Gail;Kennedy;Tonya Daniels;marsha@reilly.zm;false
388;183.806;Danny;Tyson;Ben Sutton;alison@mclaughlin.ki;false
